iter	Logloss	Accuracy
0	0.6611496009	0.7581866667
1	0.6353034179	0.7583733333
2	0.6112884248	0.7648266667
3	0.5910452215	0.76864
4	0.5753497212	0.7696533333
5	0.5609585304	0.7721866667
6	0.5504981378	0.7737866667
7	0.5408588794	0.7732266667
8	0.5335218182	0.7750133333
9	0.5266414802	0.77304
10	0.5200069316	0.7768
11	0.5126613735	0.77608
12	0.507383351	0.7786133333
13	0.5032757085	0.7775466667
14	0.4986424093	0.77856
15	0.4949461676	0.7793333333
16	0.4918216341	0.7796533333
17	0.4892910118	0.7793866667
18	0.4872494826	0.7801066667
19	0.4848876999	0.7800533333
20	0.4828326404	0.78072
21	0.4812171961	0.7808
22	0.479200327	0.7807733333
23	0.478070097	0.7819466667
24	0.4765419083	0.7821333333
25	0.4753679307	0.7828533333
26	0.4742192003	0.7830666667
27	0.4731951188	0.7835733333
28	0.4716447236	0.78328
29	0.4704240885	0.7837066667
30	0.4695667414	0.7847733333
31	0.4689022105	0.78512
32	0.4679491067	0.7852266667
33	0.4672787036	0.7856266667
34	0.4664731235	0.7862133333
35	0.4660270119	0.78664
36	0.4655607604	0.7866666667
37	0.4650488493	0.78624
38	0.4645056079	0.7868
39	0.4641342428	0.7865333333
40	0.4639109526	0.7865333333
41	0.4634569665	0.7869066667
42	0.4630508725	0.78688
43	0.4626368248	0.7869866667
44	0.4623787221	0.7872266667
45	0.4619963298	0.78704
46	0.4616630298	0.7870933333
47	0.4612395602	0.7872533333
48	0.4608341333	0.78728
49	0.46053882	0.7873066667
50	0.46020007	0.78728
51	0.459926166	0.7876533333
52	0.4595698857	0.7876533333
53	0.4591943961	0.78784
54	0.4589481751	0.7879466667
55	0.4586632511	0.7879733333
56	0.4583425643	0.7882133333
57	0.4580587701	0.7885866667
58	0.4577501165	0.7890133333
59	0.4576743229	0.78896
60	0.4573793273	0.78856
61	0.4571711085	0.7891466667
62	0.456868588	0.78944
63	0.4567641101	0.7893333333
64	0.4564409661	0.7896533333
65	0.456180469	0.78968
66	0.455944681	0.78968
67	0.455843923	0.7898133333
68	0.4556010982	0.7897066667
69	0.4554583632	0.78944
70	0.4551988446	0.78976
71	0.4550657262	0.7897333333
72	0.4547701649	0.7899733333
73	0.4545798656	0.7898666667
74	0.4543858938	0.7899466667
75	0.4541089579	0.7901066667
76	0.4539296401	0.7903466667
77	0.4537218908	0.7902933333
78	0.4535044955	0.79064
79	0.4528989353	0.7907466667
80	0.4527809415	0.7909066667
81	0.452656885	0.7910933333
82	0.4522375598	0.79144
83	0.452141268	0.79152
84	0.4519589469	0.7916533333
85	0.4517029257	0.7917866667
86	0.4514813419	0.79208
87	0.4513324694	0.7921333333
88	0.4511458605	0.7922666667
89	0.451050039	0.7924266667
90	0.4508301013	0.7924
91	0.4506897977	0.79232
92	0.4505920216	0.79232
93	0.4504761635	0.7926666667
94	0.4504320738	0.79272
95	0.4502538037	0.79304
96	0.4500645423	0.7928533333
97	0.4495971701	0.7930933333
98	0.4495867753	0.7932
99	0.4489703826	0.7936533333
100	0.4488403795	0.7935733333
101	0.4487108227	0.7934933333
102	0.4484356979	0.7932266667
103	0.4482960955	0.7936
104	0.4481475075	0.7938133333
105	0.4479856889	0.7939733333
106	0.4479636966	0.7938933333
107	0.4477803859	0.7937866667
108	0.4476589923	0.7939466667
109	0.4475568664	0.7938933333
110	0.4475222967	0.7937866667
111	0.4472121758	0.7939466667
112	0.4470683522	0.79416
113	0.4469017058	0.7941333333
114	0.4468156921	0.7943466667
115	0.446685102	0.7942933333
116	0.4464781791	0.7943733333
117	0.4463565828	0.7945333333
118	0.446247282	0.7948266667
119	0.4461344249	0.79472
120	0.446095395	0.7946666667
121	0.4459731264	0.7950666667
122	0.4457121192	0.79536
123	0.4455233073	0.7954133333
124	0.4454252848	0.7953333333
125	0.4453008834	0.7952533333
126	0.4449835243	0.7952266667
127	0.4449098892	0.79544
128	0.4447937772	0.7954933333
129	0.4446224706	0.79536
130	0.4444767378	0.7953066667
131	0.4443676716	0.7955466667
132	0.4442304407	0.7956
133	0.4440852101	0.7957866667
134	0.443922592	0.7955733333
135	0.443822654	0.7958133333
136	0.4434031671	0.7959733333
137	0.4432553574	0.79584
138	0.4431189149	0.7960533333
139	0.4430639492	0.7961066667
140	0.4428894488	0.7963466667
141	0.4427218214	0.7962133333
142	0.4425151536	0.7964
143	0.4423555954	0.79648
144	0.4422463797	0.79664
145	0.4421861007	0.7967466667
146	0.441977274	0.79696
147	0.4418137752	0.7970133333
148	0.4417322629	0.7971466667
149	0.4414780586	0.79704
150	0.4412778262	0.7972533333
151	0.4411063453	0.7974133333
152	0.4408108654	0.7974666667
153	0.4407156877	0.7974133333
154	0.4406396897	0.7976
155	0.4405224556	0.7976266667
156	0.4403807238	0.79768
157	0.4402577774	0.79776
158	0.4400560682	0.7976266667
159	0.4399003554	0.7978666667
160	0.4398301002	0.79808
161	0.439584031	0.79792
162	0.4394597261	0.7980533333
163	0.4393799211	0.79808
164	0.4392747115	0.7981066667
165	0.4391667709	0.798
166	0.4390577774	0.7980533333
167	0.4389831669	0.7980533333
168	0.4388703065	0.79824
169	0.438651749	0.7982933333
170	0.4384247868	0.7983466667
171	0.4383430673	0.7982133333
172	0.4381925184	0.79832
173	0.4381175476	0.7984
174	0.4380146818	0.7985333333
175	0.4378934289	0.7984533333
176	0.4378234495	0.79832
177	0.4376781079	0.7985866667
178	0.4375909862	0.7986133333
179	0.4375009136	0.7988266667
180	0.4374027945	0.7986933333
181	0.4372115059	0.7990666667
182	0.4371966392	0.7991466667
183	0.4370993664	0.7991733333
184	0.4369980767	0.7990933333
185	0.4369222415	0.7990666667
186	0.4368251803	0.7991733333
187	0.436730491	0.7991733333
188	0.4364778821	0.7993866667
189	0.4363867214	0.7994666667
190	0.4362847122	0.7996533333
191	0.4359608789	0.79976
192	0.4357834079	0.7997333333
193	0.4357087949	0.79976
194	0.4355189108	0.8001333333
195	0.4353491988	0.8001866667
196	0.4352647496	0.8001866667
197	0.4352601011	0.8001866667
198	0.4350775061	0.80024
199	0.4348389191	0.8004
200	0.4347443622	0.8002666667
201	0.4346010302	0.8001333333
202	0.434542751	0.8002933333
203	0.4344739419	0.8004533333
204	0.4344311123	0.80056
205	0.4343278531	0.8004533333
206	0.4341562628	0.8004266667
207	0.434068395	0.8006133333
208	0.4339684478	0.80104
209	0.4338223832	0.80104
210	0.4336318527	0.80136
211	0.4335602588	0.8011733333
212	0.4335437338	0.8011466667
213	0.433494213	0.8011466667
214	0.4333360706	0.8013333333
215	0.4331936757	0.8014666667
216	0.4330626232	0.8013333333
217	0.4329867599	0.8013066667
218	0.4328560428	0.8016
219	0.4326928642	0.80184
220	0.4326331223	0.80176
221	0.4325352567	0.8019466667
222	0.4324188077	0.8019733333
223	0.4322880748	0.8019466667
224	0.4321949806	0.80192
225	0.4321264535	0.8019733333
226	0.4320360615	0.8020533333
227	0.4319189392	0.8020266667
228	0.4318213842	0.80216
229	0.4317179822	0.80248
230	0.4316293059	0.80248
231	0.4314928127	0.8022133333
232	0.4314202441	0.8025333333
233	0.4313340022	0.8026666667
234	0.4312312196	0.8027466667
235	0.4310996512	0.8028
236	0.4309623797	0.8029333333
237	0.4308357902	0.8029066667
238	0.4307681146	0.8030666667
239	0.4306438925	0.8029066667
240	0.4305719798	0.8028
241	0.4304770083	0.80296
242	0.4303135733	0.8031733333
243	0.4301804792	0.8032266667
244	0.4301088917	0.8032533333
245	0.4300720715	0.8032266667
246	0.4299905913	0.8032266667
247	0.4299037808	0.80344
248	0.4298097889	0.80328
249	0.4297088733	0.8032266667
250	0.4295959082	0.8036266667
251	0.4294886795	0.8036266667
252	0.4294013752	0.8036266667
253	0.4293195959	0.8037866667
254	0.4292379095	0.8038933333
255	0.4291784686	0.8035466667
256	0.4290532514	0.8036
257	0.4289360563	0.80352
258	0.4288556488	0.80344
259	0.428742991	0.80368
260	0.428675547	0.80392
261	0.4286197388	0.8038933333
262	0.4283740146	0.8040533333
263	0.4282998259	0.8040266667
264	0.4282609104	0.8041333333
265	0.4281822667	0.80424
266	0.428122372	0.8041866667
267	0.4279861352	0.8043733333
