iter	Passed	Remaining
0	82	82218
1	104	51994
2	125	41700
3	145	36243
4	167	33301
5	188	31279
6	212	30165
7	234	29124
8	255	28093
9	278	27563
10	303	27322
11	332	27380
12	356	27031
13	371	26187
14	385	25335
15	399	24595
16	411	23814
17	424	23179
18	438	22643
19	452	22193
20	463	21627
21	477	21225
22	489	20798
23	502	20415
24	515	20104
25	528	19788
26	541	19518
27	555	19289
28	568	19027
29	580	18754
30	593	18545
31	606	18344
32	617	18087
33	628	17857
34	643	17740
35	656	17590
36	670	17458
37	686	17370
38	702	17315
39	717	17229
40	731	17108
41	747	17050
42	758	16884
43	774	16831
44	788	16741
45	802	16642
46	815	16530
47	828	16428
48	842	16356
49	857	16293
50	871	16215
51	888	16202
52	904	16161
53	926	16222
54	939	16141
55	952	16064
56	967	15999
57	982	15959
58	1009	16103
59	1025	16060
60	1046	16110
61	1069	16178
62	1091	16233
63	1114	16304
64	1139	16384
65	1166	16513
66	1186	16529
67	1201	16473
68	1214	16381
69	1227	16308
70	1241	16240
71	1254	16163
72	1269	16116
73	1282	16050
74	1302	16066
75	1321	16063
76	1334	16000
77	1347	15933
78	1364	15911
79	1382	15894
80	1396	15847
81	1411	15797
82	1423	15725
83	1436	15660
84	1449	15606
85	1461	15533
86	1476	15495
87	1503	15581
88	1529	15653
89	1552	15698
90	1566	15651
91	1579	15587
92	1591	15521
93	1605	15477
94	1623	15462
95	1636	15408
96	1650	15361
97	1663	15308
98	1671	15215
99	1686	15176
100	1698	15116
101	1712	15073
102	1724	15021
103	1738	14974
104	1751	14930
105	1764	14885
106	1778	14845
107	1792	14802
108	1804	14752
109	1816	14700
110	1829	14654
111	1849	14662
112	1868	14667
113	1886	14658
114	1904	14655
115	1917	14611
116	1930	14572
117	1943	14529
118	1957	14489
119	1971	14454
120	1988	14441
121	2001	14407
122	2015	14370
123	2030	14344
124	2042	14297
125	2056	14263
126	2070	14232
127	2082	14190
128	2097	14165
129	2111	14129
130	2125	14097
131	2139	14066
132	2152	14034
133	2180	14090
134	2208	14151
135	2236	14205
136	2249	14171
137	2262	14134
138	2274	14089
139	2286	14047
140	2299	14012
141	2312	13974
142	2327	13945
143	2342	13925
144	2356	13898
145	2372	13875
146	2396	13907
147	2422	13946
148	2442	13949
149	2457	13924
150	2471	13896
151	2485	13865
152	2499	13836
153	2513	13806
154	2527	13778
155	2541	13748
156	2555	13720
157	2567	13683
158	2582	13658
159	2598	13639
160	2610	13604
161	2624	13578
162	2638	13547
163	2652	13521
164	2666	13495
165	2681	13470
166	2694	13441
167	2707	13410
168	2724	13398
169	2743	13394
170	2766	13412
171	2791	13438
172	2815	13458
173	2836	13464
174	2856	13464
175	2878	13475
176	2899	13480
177	2916	13468
178	2931	13446
179	2947	13429
180	2964	13414
181	2993	13455
182	3008	13429
183	3026	13421
184	3041	13400
185	3056	13377
186	3073	13363
187	3092	13357
188	3113	13360
189	3132	13352
190	3150	13344
191	3163	13314
192	3176	13280
193	3189	13250
194	3202	13220
195	3216	13192
196	3229	13165
197	3240	13123
198	3254	13098
199	3270	13082
200	3284	13056
201	3298	13031
202	3311	13001
203	3328	12986
204	3341	12958
205	3355	12931
206	3372	12919
207	3397	12937
208	3424	12959
209	3465	13038
210	3508	13119
211	3553	13207
212	3564	13170
213	3577	13138
214	3591	13113
215	3605	13087
216	3619	13060
217	3632	13028
218	3647	13008
219	3663	12987
220	3677	12962
221	3692	12939
222	3711	12930
223	3726	12908
224	3742	12889
225	3766	12899
226	3788	12900
227	3801	12870
228	3814	12841
229	3828	12816
230	3842	12791
231	3860	12780
232	3876	12760
233	3889	12732
234	3903	12705
235	3916	12678
236	3930	12654
237	3944	12628
238	3957	12599
239	3982	12612
240	4004	12610
241	4019	12591
242	4033	12565
243	4046	12538
244	4059	12509
245	4071	12478
246	4084	12451
247	4098	12426
248	4111	12401
249	4125	12377
250	4141	12357
251	4154	12331
252	4167	12303
253	4180	12279
254	4194	12253
255	4206	12226
256	4220	12202
257	4234	12177
258	4247	12151
259	4261	12128
260	4278	12113
261	4291	12089
262	4305	12065
263	4319	12041
264	4331	12014
265	4345	11991
266	4360	11969
267	4374	11947
268	4399	11956
269	4426	11969
270	4446	11962
271	4459	11936
272	4477	11924
273	4489	11895
274	4502	11869
275	4514	11842
276	4527	11818
277	4540	11792
278	4553	11766
279	4567	11745
280	4579	11717
281	4592	11693
282	4608	11676
283	4623	11656
284	4637	11634
285	4652	11613
286	4667	11594
287	4680	11571
288	4694	11549
289	4708	11527
290	4721	11502
291	4735	11481
292	4749	11459
293	4762	11437
294	4775	11412
295	4789	11391
296	4802	11368
297	4816	11346
298	4830	11324
299	4847	11309
300	4863	11293
301	4875	11268
302	4889	11247
303	4906	11233
304	4921	11214
305	4940	11205
306	4959	11194
307	4985	11202
308	5002	11186
309	5019	11173
310	5033	11151
311	5047	11130
312	5061	11108
313	5075	11087
314	5088	11066
315	5102	11045
316	5116	11023
317	5129	11001
318	5147	10988
319	5161	10967
320	5175	10947
321	5189	10927
322	5203	10907
323	5215	10881
324	5228	10859
325	5241	10836
326	5255	10816
327	5269	10796
328	5283	10775
329	5300	10760
330	5314	10741
331	5328	10721
332	5346	10709
333	5360	10689
334	5374	10669
335	5391	10655
336	5417	10658
337	5442	10660
338	5458	10642
339	5469	10618
340	5484	10599
341	5499	10580
342	5513	10561
343	5527	10540
344	5540	10519
345	5554	10499
346	5569	10479
347	5581	10457
348	5596	10439
349	5616	10429
350	5629	10409
351	5646	10394
352	5660	10375
353	5674	10355
354	5689	10337
355	5705	10320
356	5718	10300
357	5731	10279
358	5744	10257
359	5758	10238
360	5772	10218
361	5787	10200
362	5801	10181
363	5815	10161
364	5830	10143
365	5847	10128
366	5859	10107
367	5873	10086
368	5891	10074
369	5905	10055
370	5918	10034
371	5933	10016
372	5947	9996
373	5959	9975
374	5973	9956
375	6009	9972
376	6031	9966
377	6048	9952
378	6062	9934
379	6077	9915
380	6094	9901
381	6107	9881
382	6121	9860
383	6135	9841
384	6147	9820
385	6161	9801
386	6175	9782
387	6188	9761
388	6201	9741
389	6215	9722
390	6229	9702
391	6243	9684
392	6258	9665
393	6270	9644
394	6284	9625
395	6298	9606
396	6315	9592
397	6328	9571
398	6346	9559
399	6357	9536
400	6373	9520
401	6388	9503
402	6402	9485
403	6416	9465
404	6434	9452
405	6460	9452
406	6488	9454
407	6505	9439
408	6519	9420
409	6532	9401
