iter	Passed	Remaining
0	18	18553
1	29	14782
2	44	14849
3	57	14381
4	68	13710
5	85	14160
6	102	14500
7	113	14045
8	122	13516
9	131	12978
10	140	12634
11	149	12314
12	158	12046
13	168	11866
14	177	11687
15	187	11522
16	196	11369
17	206	11239
18	215	11114
19	224	10993
20	233	10887
21	242	10801
22	252	10705
23	261	10639
24	271	10584
25	281	10539
26	290	10486
27	300	10440
28	310	10380
29	321	10388
30	337	10558
31	357	10813
32	372	10912
33	394	11215
34	410	11309
35	429	11498
36	447	11639
37	465	11782
38	483	11911
39	502	12057
40	518	12131
41	534	12194
42	550	12244
43	568	12354
44	586	12437
45	602	12500
46	619	12566
47	636	12615
48	653	12686
49	670	12734
50	687	12798
51	707	12890
52	720	12877
53	736	12898
54	754	12971
55	771	13004
56	787	13024
57	806	13105
58	822	13119
59	840	13174
60	860	13245
61	879	13304
62	894	13308
63	908	13284
64	926	13325
65	942	13334
66	958	13342
67	973	13340
68	989	13357
69	1004	13349
70	1014	13269
71	1030	13285
72	1047	13307
73	1060	13264
74	1070	13207
75	1083	13177
76	1093	13108
77	1103	13041
78	1119	13055
79	1136	13064
80	1153	13088
81	1171	13120
82	1194	13200
83	1214	13246
84	1231	13259
85	1248	13274
86	1265	13275
87	1276	13228
88	1285	13158
89	1293	13076
90	1302	13012
91	1313	12959
92	1323	12909
93	1332	12847
94	1343	12799
95	1352	12738
96	1361	12678
97	1370	12617
98	1379	12559
99	1389	12505
100	1398	12449
101	1408	12396
102	1416	12339
103	1433	12351
104	1443	12303
105	1452	12248
106	1462	12202
107	1470	12148
108	1479	12095
109	1489	12048
110	1498	12003
111	1507	11954
112	1516	11903
113	1525	11856
114	1534	11810
115	1543	11764
116	1553	11724
117	1567	11720
118	1583	11719
119	1596	11704
120	1606	11669
121	1618	11645
122	1631	11630
123	1643	11608
124	1652	11567
125	1665	11555
126	1679	11544
127	1691	11526
128	1701	11490
129	1713	11466
130	1725	11444
131	1735	11415
132	1748	11398
133	1761	11385
134	1774	11368
135	1793	11392
136	1812	11416
137	1829	11427
138	1849	11459
139	1861	11432
140	1870	11393
141	1878	11352
142	1887	11314
143	1897	11281
144	1906	11243
145	1916	11208
146	1925	11171
147	1934	11135
148	1949	11135
149	1961	11115
150	1970	11080
151	1979	11043
152	1988	11009
153	1997	10975
154	2007	10942
155	2017	10914
156	2026	10880
157	2035	10847
158	2048	10837
159	2059	10814
160	2071	10794
161	2080	10764
162	2089	10727
163	2097	10691
164	2106	10660
165	2115	10629
166	2125	10602
167	2134	10572
168	2143	10541
169	2152	10511
170	2162	10482
171	2170	10451
172	2180	10422
173	2189	10394
174	2198	10365
175	2207	10336
176	2216	10307
177	2225	10279
178	2235	10252
179	2244	10223
180	2253	10195
181	2262	10168
182	2271	10141
183	2280	10113
184	2292	10098
185	2302	10075
186	2311	10049
187	2320	10023
188	2330	10001
189	2340	9975
190	2351	9959
191	2360	9933
192	2369	9908
193	2378	9882
194	2387	9857
195	2396	9830
196	2405	9805
197	2414	9780
198	2423	9756
199	2433	9732
200	2442	9708
201	2451	9684
202	2463	9671
203	2477	9669
204	2487	9645
205	2496	9620
206	2505	9598
207	2514	9576
208	2523	9552
209	2533	9529
210	2542	9505
211	2552	9485
212	2561	9464
213	2570	9442
214	2580	9420
215	2589	9397
216	2598	9375
217	2607	9353
218	2616	9332
219	2625	9309
220	2635	9288
221	2644	9266
222	2653	9244
223	2662	9223
224	2671	9202
225	2680	9180
226	2690	9161
227	2699	9140
228	2708	9119
229	2717	9097
230	2726	9077
231	2735	9055
232	2745	9036
233	2754	9015
234	2763	8994
235	2771	8973
236	2784	8963
237	2793	8944
238	2803	8926
239	2812	8906
240	2823	8893
241	2833	8873
242	2842	8854
243	2851	8833
244	2860	8813
245	2869	8794
246	2879	8777
247	2888	8757
248	2897	8738
249	2906	8719
250	2915	8699
251	2925	8682
252	2934	8663
253	2943	8643
254	2952	8624
255	2961	8606
256	2970	8587
257	2982	8577
258	2995	8569
259	3004	8551
260	3014	8535
261	3024	8518
262	3033	8500
263	3043	8486
264	3055	8473
265	3064	8455
266	3073	8437
267	3082	8420
268	3092	8402
269	3100	8383
270	3109	8365
271	3118	8345
272	3127	8328
273	3136	8311
274	3145	8293
275	3156	8280
276	3165	8263
277	3175	8245
278	3184	8228
279	3193	8211
280	3204	8198
281	3213	8182
282	3222	8164
283	3231	8147
284	3240	8130
285	3250	8116
286	3260	8099
287	3272	8089
288	3281	8072
289	3290	8056
290	3299	8039
291	3309	8024
292	3318	8008
293	3328	7992
294	3338	7977
295	3347	7961
296	3357	7946
297	3366	7929
298	3375	7913
299	3384	7897
300	3394	7881
301	3402	7865
302	3412	7849
303	3421	7832
304	3430	7816
305	3439	7800
306	3448	7784
307	3457	7767
308	3466	7751
309	3475	7735
310	3484	7720
311	3494	7706
312	3511	7707
313	3520	7691
314	3530	7676
315	3541	7666
316	3552	7654
317	3561	7638
318	3571	7623
319	3584	7616
320	3593	7600
321	3603	7586
322	3612	7571
323	3621	7555
324	3630	7540
325	3639	7524
326	3648	7509
327	3658	7495
328	3667	7480
329	3676	7464
330	3685	7449
331	3694	7433
332	3703	7418
333	3712	7403
334	3721	7388
335	3730	7373
336	3739	7357
337	3749	7343
338	3758	7329
339	3770	7319
340	3779	7304
341	3788	7289
342	3798	7275
343	3808	7262
344	3817	7247
345	3827	7233
346	3836	7220
347	3846	7205
348	3855	7190
349	3864	7176
350	3871	7157
351	3880	7143
352	3890	7130
353	3899	7115
354	3908	7101
355	3917	7086
356	3926	7071
357	3935	7057
358	3945	7044
359	3954	7030
360	3963	7015
361	3972	7001
362	3981	6987
363	3991	6973
364	4000	6960
365	4009	6945
366	4022	6938
367	4038	6936
368	4047	6922
369	4057	6908
370	4066	6894
371	4076	6881
372	4085	6867
373	4094	6852
374	4103	6839
375	4112	6825
376	4121	6811
377	4131	6797
378	4140	6784
379	4150	6771
380	4159	6757
381	4168	6743
382	4177	6730
383	4186	6716
384	4196	6702
385	4205	6689
386	4214	6675
387	4223	6661
388	4233	6649
389	4242	6635
390	4254	6625
391	4263	6612
392	4273	6600
393	4282	6586
394	4292	6574
395	4301	6561
396	4311	6548
397	4320	6535
398	4330	6522
399	4338	6508
400	4348	6495
401	4357	6481
402	4366	6468
403	4375	6454
404	4384	6441
405	4393	6428
406	4403	6416
407	4412	6402
408	4421	6389
409	4430	6375
410	4439	6361
411	4448	6348
412	4457	6335
413	4466	6321
414	4475	6308
415	4484	6295
416	4493	6282
417	4502	6269
418	4512	6257
419	4523	6246
420	4535	6237
421	4551	6234
422	4561	6221
423	4570	6208
424	4579	6196
425	4588	6183
426	4598	6170
427	4606	6156
428	4616	6143
429	4624	6130
430	4634	6118
431	4643	6105
432	4652	6092
433	4661	6079
434	4670	6066
435	4679	6053
436	4688	6040
437	4697	6027
438	4706	6014
439	4715	6001
440	4724	5988
441	4733	5975
442	4745	5966
443	4754	5953
444	4763	5941
445	4772	5928
446	4782	5916
447	4791	5903
448	4800	5891
449	4809	5878
450	4819	5866
451	4828	5854
452	4838	5843
453	4849	5831
454	4859	5820
455	4869	5809
456	4879	5798
457	4889	5786
458	4899	5774
459	4909	5762
460	4922	5755
461	4933	5744
462	4948	5739
463	4964	5734
464	4982	5732
465	4997	5726
466	5012	5721
467	5032	5720
468	5050	5717
469	5066	5713
470	5082	5708
471	5099	5704
472	5116	5700
473	5134	5698
474	5153	5695
475	5170	5691
476	5189	5689
477	5198	5677
478	5210	5667
479	5220	5655
480	5232	5645
481	5241	5632
482	5250	5620
483	5260	5607
484	5269	5595
485	5279	5583
486	5291	5573
487	5300	5561
488	5310	5549
489	5319	5536
490	5328	5523
491	5337	5511
492	5346	5498
493	5355	5485
494	5365	5473
495	5374	5460
496	5383	5448
497	5392	5436
498	5402	5423
499	5411	5411
