iter	Logloss	Accuracy
0	0.6802749204	0.7594648107
1	0.6678374229	0.7675346493
2	0.6565492235	0.7677146457
3	0.6460346143	0.7675046499
4	0.6362767039	0.764114717755	0.6270468678	0.769514609766	0.618634307	0.7697846043
7	0.6105988111	0.7699646007
8	0.6030591813	0.7695146097
9	0.5964224136	0.7711045779
10	0.5886076347	0.7713445731
11	0.5826129467	0.7706245875112	0.5770563757	0.7705045899113	0.5721107399	0.7725745481414	0.5668966152	0.7717645641515	0.5618862687	0.7710745781616	0.5575767657	0.7732045351717	0.5539452245	0.7743745121818	0.5489822259	0.7738945211919	0.5451505592	0.7739845220	20	0.5411508396	0.7742245221	21	0.5379399125	0.7761444222	22	0.5348362177	0.777044423	023	0.5311552247	0.777164424	024	0.5283609163	0.777764425	025	0.5258212074	0.777344426	026	0.5234403807	0.777344427	027	0.5214265902	0.777644228	028	0.5191987031	0.77758429	0.29	0.5170274468	0.7779130	0.530	0.5149061877	0.7779731	0.531	0.5125054144	0.7775832	0.532	0.5102931763	0.7775233	0.533	0.5086654973	0.7780634	0.534	0.5068880778	0.7784535	0.535	0.5053148887	0.7782736	0.536	0.5036030949	0.7789337	0.537	0.5019124064	0.77938	0.49938	0.5005454893	0.77939	0.49839	0.4990792311	0.77940	0.49640	0.4979732125	0.77941	0.49541	0.496209823	0.780342	0.4942	0.4952108298	0.780443	0.4943	0.4941033794	0.779844	0.4944	0.4928806937	0.779745	0.4945	0.4918715325	0.779546	0.4946	0.4906495611	0.780147	0.4847	0.4893334761	0.780648	0.4848	0.488434816	0.780649	0.4849	0.4872817289	0.780750	0.4850	0.4862266834	0.751	0.4851951	0.485410228	0.752	0.4845552	0.4845799498	0.53	0.48370753	0.4837297558	0.54	0.48309854	0.4830896673	055	0.482086255	0.4822598917	056	0.481570856	0.4815198363	057	0.480841457	0.480886978758	0.48024787558	0.480269246659	0.47976085959	0.479664764960	0.47913376660	0.47910283461	0.47833325061	0.478535748362	0.47792362262	0.478012292463	0.47729487763	0.477442237	64	0.4766600464	0.4769621853	65	0.4760926765	0.4764652964	66	0.4753680066	0.475947363567	0.47494178067	0.475410296768	0.47450290668	0.474891682969	0.47400323169	0.47424342670	0.473647723470	0.47382990271	0.473276319671	0.47351676972	0.472962795272	0.4731064973	0.4724874299	73	0.4726844674	0.4720948752	74	0.4721645375	0.4715464647	75	0.4718817876	0.4712804029	76	0.4715950777	0.470868308	077	0.471241678	0.4704716887	078	0.470656679	0.4699914433	079	0.470278080	0.4696663854	080	0.469851781	0.4693572387	81	0.4695412482	0.4691025235	82	0.4692815083	0.4687896469	83	0.4690466584	0.4685669681	84	0.4687535385	0.4682946527	85	0.4684873186	0.4680121243	86	0.4681407687	0.4676041092	87	0.4678574388	0.4673351273	88	0.4674261189	0.4670730054	89	0.467225390	0.4666712191	090	0.46693091	0.466425792	0.91	0.46669992	0.4661589327	0.92	0.46650493	0.4658427682	0.93	0.46625694	0.4656194779	0.94	0.46609295	0.4653697175	0.95	0.46578396	0.4651915112	0.96	0.46560797	0.46506562	0.7897	0.465498	0.4647738925	0.798	0.4651699	0.4645972046	0.799	0.46499100	0.4642127437	0.100	0.46483101	0.4640351277	0.101	0.46461102	0.4637532022	0.102	0.46442103	0.4635526007	0.103	0.46424104	0.4633613968	0.104	0.46408105	0.463198922	0.7105	0.4638106	0.4629931053	0.7106	0.4637107	0.4628275783	0.7107	0.463108	0.462616202	0.785108	0.46109	0.4624334525	0.785109	0.46110	0.4622534204	0.785110	0.46111	0.462105974	0.7857111	0.4112	0.4619190619	0.7860112	0.4113	0.461781684	0.78588113	0.114	0.4615885896	0.78597114	0.115	0.461405064	0.786097115	116	0.4612677469	0.7863378116	117	0.4610869103	0.7863078117	118	0.4609144756	0.7864578118	119	0.4607739656	0.7864578119	120	0.4605843771	0.7862178120	121	0.4604418194	0.7862178121	122	0.4603214243	0.7865178122	123	0.4602376147	0.7865478123	124	0.4600985386	0.7865178124	125	0.4599249997	0.7867278125	126	0.45979271	0.7866978671127	0.4596806859	0.78657786581128	0.4595660607	0.78657786512129	0.4594373552	0.78690786129130	0.4592699493	0.78726787130131	0.4591657117	0.78756787131132	0.4590725858	0.78756787132133	0.4588967593	0.78744787133134	0.4587926554	0.78753787134135	0.4586395119	0.78744787135136	0.4585211364	0.78741787136137	0.458378857	0.78750787513138	0.4582727471	0.78762787613139	0.4581168842	0.78747787413140	0.4579924382	0.78756787140141	0.4578673901	0.7874778141	142	0.4577608665	0.7874778142	143	0.4576405618	0.7876578143	144	0.4575293964	0.7875678144	145	0.4574053383	0.7877778145	146	0.4572845032	0.7876578146	147	0.4572043101	0.787807147	0148	0.4571112838	0.787807148	0149	0.4570154546	0.787867149	0150	0.4569169923	0.787927150	0151	0.4568048786	0.787837151	0152	0.4566503478	0.78792152	0.153	0.4565380564	0.78813153	0.154	0.4563840418	0.78807154	0.155	0.4562985936	0.78819155	0156	0.4562396313	0.788317156	0157	0.4561062872	0.788347157	0158	0.4560241083	0.7883158	0.4159	0.4559315026	0.7883159	0.4160	0.4558476343	0.7883160	0.4161	0.4557500231	0.7883161	0.4162	0.4556162483	0.7884162	0.4163	0.4555228063	0.7885163	0.4164	0.4554269206	0.7883164	0.4165	0.4552838792	0.7885165	0.4166	0.4551782402	0.7885166	0.4167	0.4550870353	0.7885167	0.4168	0.4549807991	0.7886168	0.4169	0.4548790226	0.7883169	0.4170	0.4547939538	0.7885170	0.4171	0.4546730084	0.7886171	0.4172	0.4545878189	0.7886172	0.4173	0.4544916964	0.7886173	0.4174	0.4544108434	0.7887174	0.4175	0.4543317524	0.7886175	0.4176	0.4542731561	0.7888176	0.4177	0.4542293329	0.7887177	0.4178	0.4541485721	0.7887178	0.4179	0.4540484149	0.788179	0.45180	0.4539607432	0.788180	0.45181	0.4538942844	0.7181	0.4537182	0.4537781046	0.7182	0.4536183	0.4536755548	0.7183	0.4534184	0.4535819235	0.7184	0.4533185	0.4534628071	0.7185	0.4532186	0.4534102441	0.7186	0.4531187	0.4533415502	0.7187	0.4529188	0.4532653707	0188	0.452908189	0.453156376	0.189	0.45282190	0.4530710743	0190	0.452752191	0.4530150286	0191	0.452669192	0.4527817992	0192	0.45251193	0.4527333363	0.193	0.45234194	0.4526480114	0.194	0.45223195	0.452581368	0195	0.452137196	0.4524892969	0196	0.452051197	0.4523632556	0197	0.451986198	0.4522870173	0198	0.451907199	0.4522175785	0199	0.451728200	0.4521532438	0200	0.451658201	0.452061313	0.201	0.45158202	0.4519177561	0.202	0.45146203	0.4518325809	0.203	0.45141204	0.4517813231	0.204	0.45132205	0.4516185496	0.205	0.45128206	0.4515464086	0.206	0.4512207	0.4514757555	0.7207	0.4511208	0.4513780098	0.7208	0.4510209	0.4513087258	0.7209	0.4510210	0.4512495856	0.7210	0.4509211	0.4511526896	0.7211	0.4508212	0.4510471656	0.7212	0.4508213	0.4509778112	0.7213	0.4507214	0.4508604024	0.7214	0.4506215	0.4507649112	0.7215	0.4505216	0.4506817617	0.7216	0.4504217	0.4506191109	0.7217	0.4504218	0.4505372528	0.7218	0.4503219	0.4504585391	0.7219	0.4503220	0.4503607874	0.7220	0.4502221	0.4502456596	0.7221	0.4501222	0.450163746	0.79222	0.45223	0.4500839655	0.79223	0.449224	0.4500276605	0.79224	0.449225	0.4499664383	0.79225	0.449226	0.4499049729	0.79226	0.449227	0.4498015794	0.79227	0.449228	0.4497632695	0.79228	0.449229	0.449722502	0.791229	0.44230	0.4496576516	0.791230	0.4231	0.4495740682	0.7919231	0.4232	0.4495079926	0.7920232	0.4233	0.4494094897	0.7919233	0.4234	0.4493143903	0.7919234	0.4235	0.4492577603	0.7919235	0.4236	0.449203913	0.79188236	0.237	0.4491433823	0.79206237	0.238	0.4490913089	0.79221238	0.239	0.4490529275	0.7921239	0.4240	0.4489834706	0.7922240	0.4241	0.4489000667	0.7922241	0.4242	0.4488215978	0.7921242	0.4243	0.4487736158	0.7921243	0.4244	0.4486855786	0.7921244	0.4245	0.448642322	0.79215245	0.246	0.4486151184	0.79215246	0.247	0.448550863	0.792097247	248	0.4485030518	0.7922779248	249	0.4484652223	0.7922779249	250	0.4484077051	0.792367250	0251	0.4483573837	0.79227251	0.252	0.4482988276	0.79233252	0.253	0.4482042451	0.79236253	0.254	0.4481374836	0.79236254	0.255	0.4480738963	0.79242255	0.256	0.448011613	0.792397256	257	0.4479326948	0.7924579257	258	0.4478765737	0.792697258	259	0.4478178023	0.7928179259	260	0.4477364575	0.792667260	0261	0.4476662293	0.792727261	0262	0.447602388	0.7927579262	263	0.4475457756	0.7927279263	264	0.4474610159	0.7928179264	265	0.4474303319	0.7928179265	266	0.447378272	0.79290792266267	0.4473402249	0.7926979226268	0.4472642386	0.79278792726269	0.4471886497	0.79281792826270	0.4471090317	0.79308793027271	0.4470712034	0.79311793127272	0.4469734192	0.79320793227273	0.4469326483	0.79317793127274	0.4467954466	0.79323793227275	0.4467278715	0.79335793275276	0.4466787144	0.79332793276277	0.4466168051	0.79320793277278	0.4465410415	0.79350793278279	0.4465016555	0.79338793279280	0.4463996453	0.79368793280281	0.4463606597	0.79365793281282	0.4463256252	0.79371793282283	0.4462821003	0.79365793283284	0.4462483509	0.79374793284285	0.4462009951	0.79362793285286	0.446145429	0.79368793628287	0.4460754057	0.79356793287288	0.4460476076	0.79347793288289	0.4459862018	0.79353793289290	0.4459143101	0.79356793290291	0.4458821135	0.7935979329292	0.4458357858	0.79365793629293	0.4457804408	0.79368793629294	0.445740378	0.79377793782295	0.4456616154	0.79377793782296	0.4456286073	0.79365793662297	0.4455761735	0.79392793932298	0.4454866023	0.79416794172299	0.4454143327	0.79413794142300	0.4453693994	0.79398793993301	0.4453248031	0.79404794053302	0.4452531483	0.79413794130303	0.4452177559	0.79422794303304	0.4451682497	0.79416794304305	0.4451010191	0.79416794305306	0.4450441558	0.79425794306307	0.4449788446	0.79446794307308	0.4449267873	0.79446308	0.309	0.4448661223	0.79467309	0.310	0.4448339023	0.79467310	03311	0.4447732205	0.79473311	03312	0.444743427	0.79458312	03313	0.4446880818	0.79491313	03314	0.4446246988	0.79488314	03315	0.444572231	0.794977315	0316	0.4444879409	0.794947316	3317	0.4444356124	0.794977317	3318	0.4443855864	0.79503318	03319	0.444337027	0.795037319	0320	0.4442932057	0.795067320	0321	0.4441170719	0.795007321	0322	0.4440393418	0.795217322	0323	0.4439770889	0.79500323	0.324	0.4439013571	0.79515324	0.325	0.4438242917	0.79497325	0.326	0.443782661	0.795067326	0327	0.4437244051	0.795127327	0328	0.4436751814	0.795247328	0329	0.4436225378	0.79518329	0.330	0.443570973	0.795157330	0331	0.4435470132	0.795067331	0332	0.4435257265	0.795067332	0333	0.4434846329	0.795007333	0334	0.4434414868	0.795187334	0335	0.4434174883	0.795217335	0336	0.4433478368	0.795277336	0337	0.4432794047	0.795247337	3338	0.4432130394	0.795307338	3339	0.4431467823	0.795337339	3340	0.4430514015	0.795277340	3341	0.443009965	0.7952179341	342	0.4429714626	0.79530793423343	0.4428692973	0.79548793433344	0.4428117236	0.79563793443345	0.4427439966	0.79548793453346	0.4427064351	0.7953979346347	0.4426268941	0.7953979534348	0.4425863922	0.79542795434349	0.4424744185	0.79545795434350	0.4423669325	0.79563795635351	0.4423066362	0.79563795635352	0.4422684196	0.79572795735353	0.4422083813	0.79560795635354	0.4421642025	0.79587795835355	0.44207641	0.7960279603
