iter	Passed	Remaining
0	80	80719
1	145	72845
2	209	69496
3	271	67641
4	330	65847
5	401	66494
6	470	66742
7	510	63273
8	549	60557
9	613	60775
10	666	59966
11	720	59344
12	774	58795
13	813	57269
14	850	55841
15	899	55342
16	950	54960
17	1025	55948
18	1133	58549
19	1291	63307
20	1401	65351
21	1476	65615
22	1552	65953
23	1623	66019
24	1684	65682
25	1731	64848
26	1783	64263
27	1823	63300
28	1873	62734
29	1927	62327
30	1965	61441
31	2012	60882
32	2050	60074
33	2089	59358
34	2125	58608
35	2167	58041
36	2206	57434
37	2253	57060
38	2305	56802
39	2366	56792
40	2489	58226
41	2569	58602
42	2640	58757
43	2705	58793
44	2767	58743
45	2832	58742
46	2874	58285
47	2910	57725
48	2950	57266
49	2995	56905
50	3031	56412
51	3068	55936
52	3106	55504
53	3144	55082
54	3183	54700
55	3222	54314
56	3261	53964
57	3299	53592
58	3341	53299
59	3382	52993
60	3441	52976
61	3495	52880
62	3533	52558
63	3578	52336
64	3618	52052
65	3661	51815
66	3702	51553
67	3745	51342
68	3786	51092
69	3829	50871
70	3890	50908
71	3942	50813
72	3986	50620
73	4043	50600
74	4099	50556
75	4169	50697
76	4232	50736
77	4296	50790
78	4363	50870
79	4443	51100
80	4561	51751
81	4608	51592
82	4644	51316
83	4686	51107
84	4725	50872
85	4766	50655
86	4804	50418
87	4844	50208
88	4883	49982
89	4922	49774
90	4959	49541
91	5009	49440
92	5067	49419
93	5117	49321
94	5166	49219
95	5214	49102
96	5263	49000
97	5318	48951
98	5375	48921
99	5440	48967
100	5511	49057
101	5558	48934
102	5618	48925
103	5677	48913
104	5729	48833
105	5778	48737
106	5831	48666
107	5879	48557
108	5933	48502
109	5980	48390
110	6032	48310
111	6073	48151
112	6114	48000
113	6166	47921
114	6226	47919
115	6298	47998
116	6370	48077
117	6491	48522
118	6576	48684
119	6639	48691
120	6707	48723
121	6762	48665
122	6809	48551
123	6849	48391
124	6901	48308
125	6939	48134
126	6976	47958
127	7014	47788
128	7069	47733
129	7113	47603
130	7154	47456
131	7193	47302
132	7232	47145
133	7269	46983
134	7309	46835
135	7351	46704
136	7391	46562
137	7429	46404
138	7488	46386
139	7560	46440
140	7599	46299
141	7639	46157
142	7683	46047
143	7722	45908
144	7762	45772
145	7802	45639
146	7843	45515
147	7880	45366
148	7920	45237
149	7958	45097
150	7996	44960
151	8053	44932
152	8099	44836
153	8161	44833
154	8217	44797
155	8276	44777
156	8346	44816
157	8402	44779
158	8469	44796
159	8550	44887
160	8600	44816
161	8642	44708
162	8683	44591
163	8722	44462
164	8762	44344
165	8807	44249
166	8851	44153
167	8897	44061
168	8941	43966
169	8981	43849
170	9019	43726
171	9073	43679
172	9120	43600
173	9170	43532
174	9219	43464
175	9269	43400
176	9320	43337
177	9367	43260
178	9409	43155
179	9447	43039
180	9497	42973
181	9566	42996
182	9606	42888
183	9647	42783
184	9689	42684
185	9728	42575
186	9767	42465
187	9807	42360
188	9847	42256
189	9887	42152
190	9926	42046
191	9966	41943
192	10003	41830
193	10040	41716
194	10105	41717
195	10151	41641
196	10192	41545
197	10231	41443
198	10273	41352
199	10317	41271
200	10368	41217
201	10409	41121
202	10449	41027
203	10489	40930
204	10556	40937
205	10618	40927
206	10687	40942
207	10747	40922
208	10810	40914
209	10871	40898
210	10939	40907
211	10984	40827
212	11024	40733
213	11062	40632
214	11125	40621
215	11186	40603
216	11247	40582
217	11313	40584
218	11383	40597
219	11443	40573
220	11493	40513
221	11574	40561
222	11640	40558
223	11703	40543
224	11743	40449
225	11785	40362
226	11825	40268
227	11865	40175
228	11904	40081
229	11946	39994
230	11986	39902
231	12025	39807
232	12064	39713
233	12103	39622
234	12175	39633
235	12219	39558
236	12269	39500
237	12321	39448
238	12371	39390
239	12422	39338
240	12468	39267
241	12506	39173
242	12552	39104
243	12619	39100
244	12659	39013
245	12700	38928
246	12739	38838
247	12778	38748
248	12820	38665
249	12860	38582
250	12898	38488
251	12937	38402
252	12977	38317
253	13016	38230
254	13056	38144
255	13095	38057
256	13142	37996
257	13199	37961
258	13238	37874
259	13278	37791
260	13317	37708
261	13357	37625
262	13398	37546
263	13438	37463
264	13480	37389
265	13521	37311
266	13562	37232
267	13635	37241
268	13682	37181
269	13722	37101
270	13767	37033
271	13812	36968
272	13867	36929
273	13945	36949
274	14015	36949
275	14088	36956
276	14179	37009
277	14265	37048
278	14335	37045
279	14392	37009
280	14463	37007
281	14526	36984
282	14585	36953
