iter	Logloss	Accuracy
0	0.6602534044	0.7599733333
1	0.6328343668	0.7640533333
2	0.610678672	0.76704
3	0.5925496706	0.77128
4	0.5762836136	0.7707733333
5	0.5637781333	0.77048
6	0.5500469865	0.7714666667
7	0.5410215135	0.7726666667
8	0.5328991089	0.7728266667
9	0.5256199417	0.77512
10	0.5196459556	0.77648
11	0.5127331174	0.7766666667
12	0.5078003161	0.7766666667
13	0.5033267477	0.7783466667
14	0.4998093742	0.77912
15	0.4967361774	0.7800533333
16	0.4934845103	0.7793066667
17	0.4896333334	0.7801333333
18	0.4873872238	0.77976
19	0.4842443405	0.7801066667
20	0.4817237112	0.7803733333
21	0.4799906589	0.78056
22	0.478230337	0.7808
23	0.4766511324	0.7816
24	0.4752842298	0.78192
25	0.4741194995	0.7826933333
26	0.4730964401	0.7828
27	0.4720355945	0.7828
28	0.4709996709	0.7830133333
29	0.4696960931	0.7830933333
30	0.4686592286	0.7832266667
31	0.4678505608	0.7834666667
32	0.4672913157	0.7833066667
33	0.4665779275	0.7840533333
34	0.4659550851	0.7848533333
35	0.4653828977	0.7850666667
36	0.4649042275	0.7849066667
37	0.4642840678	0.7853866667
38	0.4637874555	0.78536
39	0.4631997882	0.7856533333
40	0.4627709045	0.7861866667
41	0.4623939873	0.7862666667
42	0.4618916466	0.78664
43	0.4616110192	0.7865866667
44	0.4611328143	0.7865066667
45	0.4607139399	0.78688
46	0.4603987542	0.7869866667
47	0.4601143271	0.7868533333
48	0.4597817435	0.78696
49	0.4594424763	0.7874666667
50	0.4591583422	0.7877066667
51	0.4588727819	0.7878133333
52	0.4585955725	0.7876
53	0.4582965638	0.78792
54	0.4580028608	0.7881866667
55	0.4577643637	0.7880533333
56	0.4574356335	0.78848
57	0.4568708687	0.7884
58	0.4562456302	0.7885066667
59	0.4559730985	0.7889333333
60	0.4557180917	0.7888533333
61	0.455443463	0.7889333333
62	0.4549597644	0.7889866667
63	0.454698764	0.7891733333
64	0.4544603282	0.7897333333
65	0.4540788605	0.7896266667
66	0.4538359539	0.7899733333
67	0.4536385616	0.79072
68	0.4533903562	0.79064
69	0.4531647177	0.7909333333
70	0.4529520535	0.7910666667
71	0.4526996907	0.79088
72	0.4524777267	0.79136
73	0.4523491945	0.7914133333
74	0.4521736446	0.7917333333
75	0.4519540844	0.79184
76	0.4517863316	0.79152
77	0.4515499589	0.7917866667
78	0.4514127524	0.79176
79	0.4512047023	0.7920266667
80	0.4510688569	0.7920533333
81	0.4509408425	0.7921866667
82	0.4507659464	0.7919733333
83	0.4505466038	0.79224
84	0.4504341734	0.7921866667
85	0.4498417145	0.79176
86	0.4496682697	0.79224
87	0.4495741578	0.7922666667
88	0.449446598	0.7922666667
89	0.4492155752	0.7925333333
90	0.4490752734	0.7926933333
91	0.4488466663	0.79312
92	0.4487774242	0.7932533333
93	0.4487020628	0.7932
94	0.4485514914	0.79312
95	0.4482678582	0.7931733333
96	0.4481736468	0.79312
97	0.4479307583	0.7927466667
98	0.4477931045	0.79296
99	0.4477742982	0.7929066667
100	0.4476526073	0.7929066667
101	0.4476063572	0.7928
102	0.4475300084	0.79296
103	0.4473434849	0.79288
104	0.4472085339	0.7928266667
105	0.4468915633	0.79336
106	0.4468186774	0.79344
107	0.4466015355	0.7936
108	0.4464434563	0.7933866667
109	0.4462409282	0.7938666667
110	0.4459731295	0.7938133333
111	0.4457599668	0.7940533333
112	0.4455991579	0.7943733333
113	0.4455145329	0.7944533333
114	0.4453963916	0.7944266667
115	0.4453288615	0.79456
116	0.4451663034	0.7946666667
117	0.4450010207	0.79464
118	0.4447278014	0.7946933333
119	0.4446202975	0.79464
120	0.444480957	0.7949333333
121	0.4443082945	0.7949066667
122	0.4441922742	0.79496
123	0.4439627832	0.7953866667
124	0.4439022937	0.79544
125	0.4437531742	0.7954666667
126	0.4435976861	0.79544
127	0.4435029786	0.7956
128	0.4433613936	0.79576
129	0.443173706	0.7957866667
130	0.4430797025	0.7958666667
131	0.4428521783	0.79576
132	0.4426767287	0.79584
133	0.442338504	0.7960533333
134	0.4422727575	0.79608
135	0.4420073663	0.796
136	0.441839064	0.79608
137	0.441570834	0.79608
138	0.4414806977	0.7960266667
139	0.4413284284	0.7963733333
140	0.4411575081	0.7964
141	0.4410282869	0.79624
142	0.440938116	0.79632
143	0.4408409189	0.7967466667
144	0.4407061165	0.7966933333
145	0.4405739386	0.7965866667
146	0.4404456545	0.7967733333
147	0.4401656492	0.7968
148	0.439982478	0.79688
149	0.4398989788	0.7968
150	0.4397217032	0.79712
151	0.4395862866	0.7972533333
152	0.4394963199	0.7973866667
153	0.4393294248	0.7974133333
154	0.4391889236	0.7974666667
155	0.4390701143	0.79744
156	0.4389674825	0.79728
157	0.4387584973	0.7976533333
158	0.4386534107	0.7977866667
159	0.4385468449	0.7978666667
160	0.4384427544	0.7981866667
161	0.4382474034	0.79832
162	0.4381257846	0.7981866667
163	0.4379497896	0.7982666667
164	0.4378334392	0.7982933333
165	0.4376511552	0.79848
166	0.4375120079	0.7986666667
167	0.4373536526	0.79856
168	0.4372342531	0.7983733333
169	0.4371603004	0.7984266667
170	0.4369878163	0.7986666667
171	0.4368427903	0.7988266667
172	0.4366769805	0.7990666667
173	0.4366314386	0.7990933333
174	0.4364510964	0.7991466667
175	0.4363657231	0.79936
176	0.4361796821	0.7994933333
177	0.4360508959	0.7996
178	0.435961429	0.7997066667
179	0.4358280556	0.7996
180	0.4357376335	0.7997333333
181	0.4356462452	0.7997333333
182	0.4354613492	0.79984
183	0.4353023636	0.79984
184	0.4351602428	0.7999466667
185	0.4351120304	0.7998933333
186	0.4349443405	0.7998666667
187	0.4348536624	0.7998666667
188	0.4347244371	0.7996533333
189	0.4345906335	0.7996533333
190	0.4345024254	0.8000533333
191	0.4343950766	0.80016
192	0.4342719171	0.8003466667
193	0.4341690761	0.8004266667
194	0.4340637796	0.8004266667
195	0.433921285	0.80032
196	0.4338155191	0.8003733333
197	0.4336891502	0.8005066667
198	0.4335647288	0.8004
199	0.4334220996	0.8007733333
200	0.4332739786	0.80088
201	0.4331342849	0.80128
202	0.4330094773	0.8011733333
203	0.4328903704	0.80168
204	0.4327339741	0.8015733333
205	0.4326620618	0.8016
206	0.4324241352	0.8014666667
207	0.4322783643	0.8018133333
208	0.4321741382	0.802
209	0.4320472296	0.8020533333
210	0.4318573507	0.80192
211	0.4318061573	0.8019466667
212	0.4317295002	0.802
213	0.4316131366	0.8022933333
214	0.4315400511	0.8020266667
215	0.4314071208	0.80216
216	0.4313351522	0.8022933333
217	0.4311841614	0.8022666667
218	0.4310530978	0.8023466667
219	0.4309944423	0.80232
220	0.4308812959	0.8025333333
221	0.4308393259	0.8026133333
222	0.4307265764	0.8026666667
223	0.4305793642	0.80288
224	0.4304484847	0.80264
225	0.4303454451	0.80272
226	0.4299292847	0.8030933333
227	0.4297959794	0.80296
228	0.429739598	0.8030133333
229	0.4296373375	0.8029866667
230	0.4294989294	0.8033066667
231	0.4293892145	0.80336
232	0.4292917807	0.8033866667
233	0.4292449455	0.80328
234	0.4291376341	0.8033333333
235	0.4290158381	0.8034666667
236	0.4289359476	0.8033333333
237	0.4288136134	0.8033066667
238	0.4286814512	0.8035466667
239	0.4285703473	0.8036266667
240	0.4284905572	0.8036
241	0.4283716966	0.8035466667
242	0.4282713472	0.80368
243	0.4281916199	0.80376
244	0.42810682	0.8037866667
245	0.4280174531	0.80384
246	0.427901959	0.8039733333
247	0.4278256234	0.8038933333
248	0.4277273551	0.8037866667
249	0.4276315174	0.80392
250	0.4275389988	0.8040533333
251	0.4274099588	0.8041066667
252	0.4273054812	0.8040266667
253	0.4272023502	0.8039733333
254	0.4271075662	0.8038933333
255	0.4270128807	0.8039466667
256	0.4269201322	0.8038133333
257	0.4268030496	0.80416
258	0.4267234542	0.8042133333
259	0.4266558607	0.8042933333
260	0.4265538613	0.8042666667
261	0.4264667332	0.8044266667
262	0.4263702271	0.80456
263	0.4262479227	0.80456
264	0.426132877	0.80464
265	0.4260522355	0.8046933333
266	0.4259263793	0.80488
267	0.4258133002	0.80512
268	0.4257601107	0.8051733333
269	0.4256829258	0.80504
270	0.4255982457	0.8052266667
271	0.4254520337	0.80544
272	0.4253528859	0.8056533333
273	0.425240436	0.8058933333
274	0.4251063222	0.8059466667
275	0.4249973511	0.80592
276	0.4249443128	0.80608
277	0.4248385997	0.8062133333
278	0.4247205839	0.80632
279	0.4246490215	0.80632
280	0.4245623433	0.8062666667
281	0.4244941007	0.80632
282	0.4244466326	0.80648
283	0.4243848574	0.8065066667
284	0.4243063904	0.8066133333
285	0.4242223545	0.8066666667
286	0.4241530434	0.80672
287	0.4240934558	0.8068
288	0.4240043362	0.8067733333
289	0.4239141907	0.80672
290	0.4238170729	0.8068
291	0.4236987499	0.8067466667
292	0.4236353525	0.80688
293	0.4235163029	0.8069066667
294	0.4234334728	0.8070666667
295	0.4233285291	0.8070133333
296	0.4232517327	0.8070933333
297	0.4231473537	0.8070933333
298	0.4230495628	0.80712
299	0.4229214851	0.8072533333
300	0.4228243197	0.8071733333
301	0.4227321379	0.8072533333
302	0.4226712532	0.8072266667
303	0.4225479893	0.8073333333
304	0.4224228911	0.8073866667
305	0.4222981398	0.8075733333
306	0.4221988955	0.80744
307	0.4221004451	0.80752
308	0.4220080877	0.8074666667
309	0.4219459857	0.80744
310	0.4218507885	0.8073866667
311	0.4217675983	0.8075466667
312	0.4216830032	0.8076266667
313	0.4215918344	0.8077333333
314	0.4215313233	0.8079733333
315	0.4214736638	0.8079466667
316	0.4213761658	0.80784
317	0.4212667651	0.8079733333
318	0.4211426902	0.8080266667
319	0.421079258	0.8080266667
320	0.4209932094	0.80824
321	0.4208994542	0.80832
322	0.420800115	0.8084533333
323	0.420603724	0.80856
324	0.4203864086	0.8086133333
325	0.4202842106	0.80856
326	0.4201974565	0.8087466667
327	0.4201359369	0.80872
