iter	Passed	Remaining
0	18	18388
1	36	18082
2	52	17580
3	72	18043
4	92	18487
5	107	17869
6	127	18045
7	148	18352
8	166	18359
9	185	18408
10	205	18487
11	225	18533
12	243	18493
13	261	18413
14	281	18480
15	300	18476
16	317	18337
17	341	18657
18	363	18773
19	384	18834
20	405	18882
21	422	18769
22	432	18359
23	441	17948
24	450	17583
25	459	17227
26	469	16908
27	478	16609
28	487	16315
29	497	16081
30	506	15831
31	514	15566
32	524	15372
33	533	15166
34	542	14963
35	551	14777
36	560	14586
37	569	14417
38	579	14270
39	588	14114
40	597	13965
41	612	13962
42	626	13941
43	638	13872
44	649	13777
45	658	13650
46	667	13535
47	676	13423
48	686	13316
49	695	13211
50	704	13113
51	714	13021
52	723	12936
53	733	12846
54	742	12759
55	752	12690
56	761	12602
57	770	12520
58	780	12441
59	789	12365
60	798	12296
61	807	12222
62	817	12160
63	829	12126
64	838	12064
65	848	12002
66	857	11937
67	866	11870
68	874	11805
69	883	11744
70	892	11683
71	902	11630
72	911	11572
73	920	11520
74	929	11467
75	939	11416
76	948	11367
77	957	11323
78	966	11272
79	975	11220
80	989	11226
81	1008	11295
82	1028	11362
83	1048	11431
84	1067	11493
85	1087	11558
86	1107	11625
87	1126	11672
88	1146	11736
89	1167	11807
90	1187	11865
91	1198	11831
92	1214	11840
93	1230	11856
94	1251	11919
95	1276	12018
96	1296	12066
97	1305	12015
98	1314	11965
99	1323	11912
100	1332	11862
101	1342	11821
102	1352	11775
103	1361	11728
104	1370	11682
105	1379	11636
106	1388	11590
107	1398	11547
108	1407	11504
109	1416	11462
110	1425	11419
111	1434	11375
112	1453	11406
113	1473	11448
114	1497	11527
115	1518	11573
116	1557	11755
117	1587	11866
118	1597	11823
119	1606	11778
120	1615	11735
121	1626	11702
122	1635	11658
123	1644	11615
124	1653	11574
125	1662	11531
126	1671	11490
127	1681	11453
128	1690	11416
129	1700	11379
130	1710	11345
131	1719	11307
132	1728	11269
133	1737	11231
134	1745	11186
135	1755	11150
136	1764	11114
137	1778	11111
138	1789	11086
139	1799	11053
140	1808	11019
141	1825	11027
142	1840	11028
143	1850	11001
144	1860	10970
145	1869	10936
146	1879	10904
147	1888	10874
148	1898	10842
149	1907	10811
150	1920	10797
151	1931	10775
152	1949	10791
153	1962	10783
154	1975	10770
155	1990	10770
156	2006	10773
157	2017	10752
158	2033	10755
159	2045	10737
160	2057	10719
161	2067	10693
162	2076	10662
163	2086	10634
164	2095	10604
165	2104	10573
166	2114	10547
167	2123	10516
168	2132	10485
169	2141	10456
170	2150	10427
171	2160	10398
172	2169	10369
173	2178	10343
174	2188	10317
175	2199	10299
176	2209	10274
177	2218	10246
178	2228	10222
179	2239	10201
180	2250	10182
181	2261	10166
182	2275	10157
183	2286	10140
184	2296	10118
185	2312	10120
186	2328	10124
187	2340	10110
188	2356	10111
189	2376	10132
190	2396	10152
191	2416	10169
192	2434	10179
193	2446	10164
194	2457	10147
195	2468	10126
196	2478	10103
197	2489	10082
198	2499	10058
199	2508	10035
200	2518	10010
201	2526	9981
202	2536	9959
203	2546	9936
204	2555	9911
205	2565	9887
206	2574	9861
207	2583	9837
208	2593	9815
209	2602	9790
210	2611	9765
211	2620	9741
212	2629	9716
213	2638	9692
214	2647	9667
215	2657	9646
216	2666	9622
217	2676	9602
218	2686	9578
219	2696	9559
220	2705	9535
221	2714	9513
222	2724	9491
223	2733	9469
224	2742	9447
225	2751	9424
226	2761	9403
227	2774	9394
228	2783	9372
229	2793	9351
230	2802	9328
231	2811	9306
232	2820	9285
233	2829	9263
234	2838	9241
235	2848	9220
236	2857	9198
237	2866	9178
238	2875	9156
239	2885	9138
240	2896	9121
241	2905	9100
242	2914	9080
243	2924	9060
244	2934	9043
245	2960	9074
246	2974	9069
247	2984	9049
248	2994	9031
249	3003	9010
250	3012	8989
251	3021	8969
252	3031	8951
253	3041	8932
254	3051	8914
255	3060	8895
256	3070	8878
257	3080	8859
258	3093	8850
259	3104	8834
260	3115	8819
261	3135	8832
262	3156	8844
263	3172	8845
264	3187	8839
265	3197	8822
266	3210	8812
267	3226	8811
268	3240	8805
269	3254	8799
270	3270	8797
271	3284	8789
272	3296	8779
273	3309	8768
274	3326	8770
275	3344	8774
276	3369	8795
277	3391	8808
278	3414	8823
279	3434	8830
280	3448	8822
281	3461	8813
282	3479	8815
283	3493	8807
284	3508	8800
285	3524	8799
286	3541	8798
287	3560	8802
288	3581	8810
289	3599	8812
290	3619	8818
291	3639	8825
292	3657	8826
293	3676	8828
294	3692	8824
295	3711	8827
296	3726	8820
297	3745	8824
298	3766	8830
299	3784	8831
300	3802	8831
301	3821	8832
302	3840	8834
303	3854	8825
304	3872	8824
305	3890	8822
306	3909	8824
307	3929	8828
308	3961	8858
309	3977	8854
310	3993	8847
311	4008	8839
312	4022	8829
313	4037	8820
314	4050	8808
315	4065	8800
316	4082	8795
317	4099	8790
318	4114	8783
319	4134	8785
320	4150	8779
321	4164	8769
322	4178	8757
323	4190	8744
324	4203	8730
325	4216	8718
326	4227	8700
327	4239	8685
328	4252	8673
329	4266	8663
330	4281	8654
331	4291	8633
332	4302	8617
333	4312	8600
334	4322	8580
335	4332	8560
336	4342	8543
337	4354	8529
338	4374	8529
339	4393	8529
340	4412	8526
341	4424	8512
342	4438	8501
343	4452	8490
344	4465	8477
345	4477	8462
346	4489	8448
347	4502	8436
348	4518	8427
349	4532	8417
350	4549	8411
351	4560	8395
352	4573	8382
353	4585	8368
354	4600	8357
355	4614	8347
356	4626	8332
357	4637	8316
358	4651	8305
359	4671	8304
360	4690	8302
361	4710	8301
362	4727	8295
363	4739	8281
364	4751	8267
365	4771	8265
366	4791	8264
367	4810	8261
368	4829	8259
369	4848	8255
370	4866	8251
371	4892	8258
372	4913	8258
373	4931	8254
374	4991	8319
375	5016	8324
376	5026	8306
377	5038	8290
378	5048	8271
379	5065	8264
380	5080	8254
381	5097	8245
382	5112	8236
383	5127	8225
384	5144	8218
385	5159	8207
386	5173	8194
387	5185	8178
388	5194	8159
389	5204	8140
390	5214	8121
391	5223	8102
392	5242	8096
393	5259	8088
394	5269	8070
395	5279	8052
396	5288	8032
397	5298	8013
398	5307	7994
399	5316	7974
400	5325	7955
401	5344	7950
402	5365	7948
403	5384	7942
404	5401	7934
405	5411	7917
406	5422	7900
407	5431	7881
408	5440	7861
409	5449	7842
410	5458	7822
411	5468	7803
412	5477	7785
413	5487	7767
414	5498	7750
415	5507	7731
416	5516	7712
417	5526	7694
418	5536	7677
419	5546	7658
420	5555	7640
421	5565	7623
422	5575	7605
423	5586	7589
424	5598	7573
425	5608	7557
426	5618	7540
427	5631	7525
428	5642	7509
429	5653	7494
430	5664	7478
431	5675	7462
432	5686	7445
433	5696	7429
434	5707	7413
435	5717	7396
436	5728	7380
437	5741	7366
438	5750	7348
439	5760	7331
440	5770	7314
441	5779	7296
442	5788	7278
443	5797	7260
444	5806	7242
445	5816	7224
446	5826	7207
447	5835	7190
448	5844	7172
449	5853	7154
450	5863	7137
451	5873	7120
452	5882	7103
453	5891	7085
454	5900	7067
455	5909	7050
456	5919	7033
457	5928	7016
458	5938	6999
459	5948	6983
460	5958	6966
461	5989	6975
462	5999	6958
463	6009	6942
464	6019	6925
465	6030	6910
466	6040	6894
467	6051	6879
468	6061	6863
469	6073	6848
470	6084	6833
471	6094	6817
472	6110	6807
473	6126	6798
474	6140	6786
475	6155	6776
476	6168	6763
477	6180	6749
478	6194	6737
479	6207	6725
480	6220	6712
481	6236	6702
482	6245	6685
483	6257	6671
484	6269	6657
485	6279	6641
486	6290	6626
487	6302	6612
488	6312	6596
489	6323	6581
490	6335	6567
491	6347	6553
