iter	Logloss	Accuracy
0	0.6888066281	0.75912
1	0.6844549564	0.7640266667
2	0.6802778156	0.7616266667
3	0.6758451089	0.76784
4	0.671968887	0.76808
5	0.6681181171	0.7673066667
6	0.6643084102	0.7659733333
7	0.6606091076	0.76968
8	0.6569864899	0.76648
9	0.6532469088	0.7694933333
10	0.6495991816	0.7706666667
11	0.646218215	0.76952
12	0.6430048395	0.76912
13	0.6397950253	0.7692266667
14	0.6366054141	0.7693066667
15	0.6335047078	0.7696266667
16	0.6304945548	0.7692266667
17	0.6273332004	0.76912
18	0.6244105609	0.7690933333
19	0.6215659517	0.7689866667
20	0.6187404058	0.7691466667
21	0.6158632749	0.7690933333
22	0.6130506057	0.7692266667
23	0.6104378373	0.7690666667
24	0.6079198686	0.7694133333
25	0.6054694721	0.76928
26	0.6030277586	0.7690133333
27	0.6004575059	0.7694133333
28	0.5979675412	0.7696266667
29	0.5958581761	0.76992
30	0.5934575583	0.77032
31	0.591412787	0.7708266667
32	0.5890932712	0.7710666667
33	0.5871430716	0.7710933333
34	0.584996948	0.77104
35	0.5829543473	0.7712
36	0.5810385621	0.7710933333
37	0.5791802954	0.7711733333
38	0.5773869597	0.7712
39	0.5756388673	0.77112
40	0.5735357312	0.7714133333
41	0.5718852289	0.7716266667
42	0.5702330382	0.7717866667
43	0.5685520902	0.7718133333
44	0.5668594259	0.7723466667
45	0.5651690898	0.77224
46	0.563728163	0.7732266667
47	0.562015247	0.7733866667
48	0.5606430684	0.7729866667
49	0.5592882697	0.7741333333
50	0.5577894303	0.7740266667
51	0.5564299148	0.7747466667
52	0.5548882799	0.7748
53	0.5535617416	0.7749333333
54	0.552246343	0.7750666667
55	0.5509637004	0.7748533333
56	0.5496366585	0.7747733333
57	0.5482759392	0.77488
58	0.5470488209	0.7750666667
59	0.5455446163	0.7751466667
60	0.544391748	0.7749333333
61	0.5432541577	0.7753866667
62	0.5421450813	0.7754666667
63	0.5407943097	0.77544
64	0.5396461529	0.7757066667
65	0.5385663005	0.7756266667
